truenet,estnet,numgt,numprocs,probQR,propQuartets,whichSNaQ,runtime,netRF,majortreeRF,mean_gtee,ntaxa,nhybrids_true,nhybrids_est,ils,replicateid
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(((9,(10,#H11:::0.05489833476619549):2.7237846392738896):0.31336836227688625,(((4,(3,(2)#H15:::0.8856793004219378):0.6345759570371029):0.9223927318430754,(1,#H15:::0.11432069957806221):9.877640541591633):0.3284223561180837,(5,(6)#H11:::0.9451016652338045):9.756122506699972):0.4544560475994349):3.1443778860501657,8,7);",30,16,0.0,1.0,1,1680.094232005,10,6,0.30952363333333344,10,3,2,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(9,((8,(7)#H13:::0.9671949858590807):9.909791413698409,((6,(5,#H11:9.932455129422033::0.05367200348047273):9.28314146283974):9.898017461932806,((1,((2,(3)#H17:::0.6330904485222569):1.245195005471602,(4,#H17:::0.3669095514777431):1.245195005471602):0.6201507958764608):0.37976595044099637)#H11:0.07210940782277547::0.9463279965195273):0.34924677567228735):0.3259962138447543,(#H13:::0.03280501414091929,10):9.911870729435007);",30,16,0.0,1.0,2,924.809362683,10,6,0.30952363333333344,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","((((6,(5)#H11:::0.9429903079915372):10.0,((#H11:::0.057009692008462884,((2,(3)#H23:::0.6366676307700432):1.2200028847576185,(4,#H23:::0.3633323692299567):1.2200028847576185):0.15172954422620705):0.48799266399670216,1):0.4194892037960191):0.39134388158265504,(8,(7)#H15:::0.9675855457682818):9.973371493678922):0.3183917870797232,9,(10,#H15:::0.03241445423171815):9.82157042653439);",30,16,0.0,0.9,2,556.13776107,10,6,0.30952363333333344,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","((7,8):3.1204970836842554,(((6,(5,#H11:9.999999997961053::0.0487084216784055):9.9999999999888):9.99999999999944,((1,((2,#H13:::0.6221376510986988):1.1995210748408849,(4,(3)#H13:::0.3778623489013011):1.1995210748408849):0.5991066229837732):0.0971995972831858)#H11:0.4068662440181504::0.9512915783215945):0.3192997863519875,#H17:0.0::0.0):0.028358717316572128,((9,10):0.0)#H17:0.3034217549673787::1.0);",30,16,0.0,0.7,2,465.908581112,8,6,0.30952363333333344,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(9,((8,(7)#H15:::0.9671627231093766):9.972298561108227,((6,(5)#H13:9.869109165083781::0.9429922343064986):10.0,(1,(((2,(3)#H11:::0.6334116575620112):1.2588309342134854,(4,#H11:::0.3665883424379888):1.2588309342134854):0.05072600632739298,#H13:0.0032514967173958745::0.05700776569350141):0.5767093300241067):0.42293251640880136):0.38762007227758327):0.32566938712385396,(10,#H15:::0.03283727689062347):5.012650876553327);",30,16,0.33,1.0,2,977.129210659,10,6,0.30952363333333344,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(9,(((7)#H17:::0.9667502448161392,8):9.979020239903525,((1,(((4)#H19:::0.5961607703474151,((3,#H19:::0.4038392296525849):1.049938521952328,2):0.9869138161226908):6.239466802960697e-5,#H11:::0.05767669237413112):0.3692099404652377):0.427093151782292,(6,(5)#H11:::0.9423233076258689):9.97027385559723):0.38730772047478773):0.3310445946894521,(10,#H17:::0.033249755183860724):6.130312664053598);",30,16,0.33,0.9,2,576.644355983,14,6,0.30952363333333344,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(#H11:::0.33997423999623266,((4,(3,#H19:::0.09833338197791332):2.7063874127902627):0.20039191598262804,(2)#H19:::0.9016666180220867):0.0,((((8,7):2.2946764817437804,#H13:::0.49564221833846017):0.4568695710688918,(10,(9)#H13:::0.5043577816615399):0.9806486140764611):0.7969967872429142,((6,5):1.2361078653285202,(1)#H11:::0.6600257600037673):0.13974817089469846):1.2660544245034173);",100,16,0.0,1.0,1,4178.889411286,8,2,0.31714268,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(((10,(9)#H25:::0.5368539035126462):0.894205966138254,((7,8):2.3085075224726137,#H25:::0.46314609648735383):0.4987844950208235):0.7862387537849528,(((2,(3,#H29:::0.30226740437664973):0.9171818777482657):0.19784288954676965,(4)#H29:::0.6977325956233502):0.6784905392059117,(1)#H11:::0.8887497180750821):0.3703489078298368,(5,(#H11:::0.11125028192491797,6):0.000970421926707521):1.4356765799081643);",100,16,0.0,1.0,2,865.797384271,10,6,0.31714268,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(5,(#H15:9.994624263764832::0.05207213012349627,6):4.177988296443244,((((((3,(2)#H13:2.357227962812531e-10::0.8279126820515584):0.23657188052840353,4):1.1951513789754156,1):0.3452055584537535,#H13:0.0::0.17208731794844154):0.0)#H15:0.0::0.9479278698765037,(((10,9):0.0)#H11:0.4246543299618021::0.9238352219904078,(8,(7,#H11:0.0008134281511983169::0.07616477800959226):1.648786202245642e-5):9.455465538505019):0.7722683993081485):1.6201281542289439);",100,16,0.0,0.9,2,924.209928245,14,6,0.31714268,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","((6,5):1.0265927456077246,(#H13:0.0::0.40384696286669597,(((3,(2)#H19:::0.6778608347279487):0.25747276514477213,4):0.6464844939257979,#H19:::0.3221391652720513):9.831026115389895e-7):1.4858604883751751,(((10,(9,((8,7):3.0402604987202366)#H11:3.836003379903197e-8::0.7610795857842527):0.2714234896056463):1.6660207625655719,(#H11:9.990880399372106::0.23892041421574725,1):0.0):0.0)#H13:0.05879039242423372::0.596153037133304);",100,16,0.0,0.7,2,1465.599802133,10,4,0.31714268,10,3,3,med,1
