snaqV,ntaxa,nhybrids,runtime,threads
v1.1,4,0,0.001136205,3
v1.1,5,0,0.002965058,3
v1.1,6,0,0.00818029,3
v1.1,7,0,0.055057127,3
v1.1,8,0,0.079815961,3
v1.1,9,0,0.145343915,3
v1.1,10,0,0.562940017,3
v1.1,11,0,0.778132784,3
v1.1,12,0,1.622888616,3
v1.1,13,0,0.30117941,3
v1.1,14,0,5.782191327,3
v1.1,15,0,0.498733794,3
v1.1,16,0,10.444405886,3
v1.1,17,0,13.565029349,3
v1.1,4,0,4.277425306,3
v1.1,5,0,0.002820319,3
v1.1,6,0,0.008579431,3
v1.1,7,0,0.027830666,3
v1.1,8,0,0.101416514,3
v1.1,9,0,0.150536272,3
v1.1,10,0,0.589735404,3
v1.1,11,0,0.78315036,3
v1.1,12,0,1.612390859,3
v1.1,13,0,0.308357184,3
v1.1,14,0,5.378616722,3
v1.1,15,0,0.518414256,3
v1.1,16,0,10.477893402,3
v1.1,17,0,13.162977539,3
v1.1,18,0,20.739645962,3
v1.1,19,0,37.910870755,3
v1.1,20,0,56.34913473,3
v1.1,21,0,28.534197112,3
v1.1,22,0,28.583479809,3
v1.1,23,0,50.063941245,3
v1.1,24,0,7.985701529,3
v1.1,25,0,213.724825111,3
v1.1,4,0,0.000920757,3
v1.1,5,0,0.00200096,3
v1.1,6,0,0.009785313,3
v1.1,7,0,0.019386075,3
v1.1,8,0,0.086163048,3
v1.1,9,0,0.181191435,3
v1.1,10,0,0.360162625,3
v1.1,11,0,0.466872762,3
v1.1,12,0,2.578435326,3
v1.1,13,0,2.145864563,3
v1.1,14,0,3.144330961,3
v1.1,15,0,3.220969906,3
v1.1,16,0,6.762470876,3
v1.1,17,0,23.083502169,3
v1.1,18,0,13.564140364,3
v1.1,19,0,59.762967232,3
v1.1,20,0,64.722670699,3
v1.1,21,0,21.94348538,3
v1.1,22,0,44.906820518,3
v1.1,23,0,150.570718371,3
v1.1,24,0,130.648150327,3
v1.1,25,0,76.534245152,3
v1.1,4,0,0.000988798,3
v1.1,5,0,0.00272082,3
v1.1,6,0,0.006949569,3
v1.1,7,0,0.050247209,3
v1.1,8,0,0.057923768,3
v1.1,9,0,0.240855188,3
v1.1,10,0,0.430418959,3
v1.1,11,0,1.522701024,3
v1.1,12,0,1.835410944,3
v1.1,13,0,2.038025815,3
v1.1,14,0,9.532753311,3
v1.1,15,0,8.094151712,3
v1.1,16,0,7.133787577,3
v1.1,17,0,13.601971794,3
v1.1,18,0,20.66504699,3
v1.1,19,0,6.373602285,3
v1.1,20,0,91.210200577,3
v1.1,21,0,36.060224037,3
v1.1,22,0,54.190143957,3
v1.1,23,0,94.683527205,3
v1.1,24,0,166.843549781,3
v1.1,25,0,162.446800351,3
v1.1,4,0,0.000871707,3
v1.1,5,0,0.001249628,3
v1.1,6,0,0.013714445,3
v1.1,7,0,0.035343316,3
v1.1,8,0,0.110407678,3
v1.1,9,0,0.179919595,3
v1.1,10,0,0.277765144,3
v1.1,11,0,0.616980138,3
v1.1,12,0,1.318324456,3
v1.1,13,0,3.583256282,3
v1.1,14,0,4.689366839,3
v1.1,15,0,6.39936366,3
v1.1,16,0,12.349423191,3
v1.1,17,0,12.730450526,3
v1.1,18,0,32.274828148,3
v1.1,19,0,51.628713956,3
v1.1,20,0,9.511019003,3
v1.1,21,0,28.222366269,3
v1.1,22,0,37.615719359,3
v1.1,23,0,248.452365971,3
v1.1,24,0,99.734885029,3
v1.1,25,0,60.840402084,3
v1.1,4,0,0.000911813,3
v1.1,5,0,0.00234475,3
v1.1,6,0,0.007358191,3
v1.1,7,0,0.027212433,3
v1.1,8,0,0.172211808,3
v1.1,9,0,0.10600399,3
v1.1,10,0,0.440599312,3
v1.1,11,0,1.42406266,3
v1.1,12,0,1.446824344,3
v1.1,13,0,2.286588654,3
v1.1,14,0,3.982985856,3
v1.1,15,0,3.364567063,3
v1.1,16,0,14.579869681,3
v1.1,17,0,22.905123184,3
v1.1,18,0,10.349014273,3
v1.1,19,0,22.463465677,3
v1.1,20,0,22.018900536,3
v1.1,21,0,62.824827517,3
v1.1,22,0,83.839399402,3
v1.1,23,0,85.886254941,3
v1.1,24,0,148.193520322,3
v1.1,25,0,213.972121767,3
v1.1,4,0,0.000779621,3
v1.1,5,0,0.00175739,3
v1.1,6,0,0.011560325,3
v1.1,7,0,0.02411774,3
v1.1,8,0,0.050150824,3
v1.1,9,0,0.141182668,3
v1.1,10,0,0.370836028,3
v1.1,11,0,0.72044096,3
v1.1,12,0,0.613650333,3
v1.1,13,0,1.933302562,3
v1.1,14,0,3.419869261,3
v1.1,15,0,2.325776584,3
v1.1,16,0,27.756727373,3
v1.1,17,0,9.235732201,3
v1.1,18,0,15.474767515,3
v1.1,19,0,31.642452763,3
v1.1,20,0,47.240842706,3
v1.1,21,0,119.4535286,3
v1.1,22,0,38.626954095,3
v1.1,23,0,74.784305676,3
v1.1,24,0,71.611942007,3
v1.1,25,0,151.305251426,3
v1.1,4,0,0.001004316,3
v1.1,5,0,0.001841768,3
v1.1,6,0,0.005679019,3
v1.1,7,0,0.032495111,3
v1.1,8,0,0.132749715,3
v1.1,9,0,0.127934295,3
v1.1,10,0,0.262053566,3
v1.1,11,0,0.474889446,3
v1.1,12,0,1.38061683,3
v1.1,13,0,4.730081933,3
v1.1,14,0,5.67434878,3
v1.1,15,0,5.681008911,3
v1.1,16,0,9.905739656,3
v1.1,17,0,39.134428304,3
v1.1,18,0,18.970461468,3
v1.1,19,0,41.475729351,3
v1.1,20,0,31.412335089,3
v1.1,21,0,44.270158738,3
v1.1,22,0,14.292222752,3
v1.1,23,0,78.553113724,3
v1.1,24,0,113.660225725,3
v1.1,25,0,71.185518285,3
v1.1,4,0,0.000795452,3
v1.1,5,0,0.003074743,3
v1.1,6,0,0.007232338,3
v1.1,7,0,0.069439448,3
v1.1,8,0,0.057896081,3
v1.1,9,0,0.183267961,3
v1.1,10,0,0.370369573,3
v1.1,11,0,0.722260292,3
v1.1,12,0,1.708453128,3
v1.1,13,0,2.587164522,3
v1.1,14,0,3.682170586,3
v1.1,15,0,8.732160502,3
v1.1,16,0,0.758799367,3
v1.1,17,0,6.247943442,3
v1.1,18,0,25.809770385,3
v1.1,19,0,7.125727284,3
v1.1,20,0,56.227049653,3
v1.1,21,0,60.73006704,3
v1.1,22,0,41.796884327,3
v1.1,23,0,85.790876179,3
v1.1,24,0,109.998714607,3
v1.1,25,0,104.841208525,3
v1.1,4,0,0.001141698,3
v1.1,5,0,0.002247971,3
v1.1,6,0,0.005511553,3
v1.1,7,0,0.02839316,3
v1.1,8,0,0.060890164,3
v1.1,9,0,0.146193964,3
v1.1,10,0,0.533469266,3
v1.1,11,0,1.357910862,3
v1.1,12,0,1.385365344,3
v1.1,13,0,2.267578668,3
v1.1,14,0,3.567346549,3
v1.1,15,0,2.215356286,3
v1.1,16,0,4.667797229,3
v1.1,17,0,11.324772884,3
v1.1,18,0,1.546692245,3
v1.1,19,0,18.570549995,3
v1.1,20,0,113.864526031,3
v1.1,21,0,92.134810829,3
v1.1,22,0,104.648907026,3
v1.1,23,0,45.961984475,3
v1.1,24,0,50.612911761,3
v1.1,25,0,112.809914722,3
v1.1,4,0,0.000836494,3
v1.1,5,0,0.001686184,3
v1.1,6,0,0.012561864,3
v1.1,7,0,0.029846335,3
v1.1,8,0,0.109870562,3
v1.1,9,0,0.159677127,3
v1.1,10,0,0.461929196,3
v1.1,11,0,0.684623042,3
v1.1,12,0,1.407235291,3
v1.1,13,0,1.828369709,3
v1.1,14,0,5.226764054,3
v1.1,15,0,7.194455202,3
v1.1,16,0,7.101158106,3
v1.1,17,0,14.520847946,3
v1.1,18,0,15.344788905,3
v1.1,19,0,27.56652784,3
v1.1,20,0,25.963990238,3
v1.1,21,0,77.52178996,3
v1.1,22,0,184.418914367,3
v1.1,23,0,59.789128289,3
v1.1,24,0,72.765832082,3
v1.1,25,0,260.471983192,3
v1.1,4,0,0.001147581,3
v1.1,5,0,0.001748291,3
v1.1,6,0,0.007375439,3
v1.1,7,0,0.021872601,3
v1.1,8,0,0.057734486,3
v1.1,9,0,0.17839886,3
v1.1,10,0,1.115734026,3
v1.1,11,0,1.714795727,3
v1.1,12,0,1.510745194,3
v1.1,13,0,2.928874719,3
